"Neighbourhood","Neighbourhood Id","TTC Stops","Pedestrian/Other Collisions","Traffic Collisions","Road Kilometres","Road Volume","ttc_check","road_km_check","road_vol_check"
"West Humber-Clairville",1,338,727,778,165.0073788,5956.638889,1,1,1
"Mount Olive-Silverstone-Jamestown",2,70,224,154,33.86731754,3514.166667,0,0,0
"Thistletown-Beaumond Heights",3,45,109,69,27.87682004,3545,0,0,0
"Rexdale-Kipling",4,40,62,96,25.23712912,7621.333333,0,0,1
"Elms-Old Rexdale",5,29,63,70,17.07821088,4115.5,0,0,0
"Kingsview Village-The Westway",6,70,105,74,34.67941211,3371,0,0,0
"Willowridge-Martingrove-Richview",7,81,80,179,58.1905001,2446.833333,1,1,0
"Humber Heights-Westmount",8,58,27,54,25.33142639,7039,0,0,1
"Edenbridge-Humber Valley",9,63,39,150,44.71755334,4880.25,0,1,1
"Princess-Rosethorn",10,61,49,78,55.51501804,4781,0,1,1
"Eringate-Centennial-West Deane",11,85,74,166,63.07531488,6543.222222,1,1,1
"Markland Wood",12,29,53,76,27.72983914,4689.333333,0,0,1
"Etobicoke West Mall",13,27,33,31,15.67267236,3598,0,0,0
"Islington-City Centre West",14,245,689,366,120.1567608,5704.939394,1,1,1
"Kingsway South",15,33,56,99,30.48819635,5078.333333,0,0,1
"Stonegate-Queensway",16,106,155,265,84.63624626,7115.142857,1,1,1
"Mimico",17,126,134,171,52.8735019,4599.75,1,1,1
"New Toronto",18,41,71,109,27.90971541,4541.75,0,0,1
"Long Branch",19,21,43,88,26.22108051,2514.5,0,0,0
"Alderwood",20,60,56,125,43.87582539,4381,0,1,1
"Humber Summit",21,103,205,286,48.83422843,4400.090909,1,1,1
"Humbermede",22,46,158,103,28.13528583,4377.333333,0,0,1
"Pelmo Park-Humberlea",23,47,173,110,32.44376816,5889.857143,0,0,1
"Black Creek",24,94,182,135,23.51819455,7326.3,1,0,1
"Glenfield-Jane Heights",25,88,340,222,41.62227043,3632.714286,1,1,0
"Downsview-Roding-CFB",26,166,604,300,87.98992412,2825.888889,1,1,0
"York University Heights",27,235,598,548,67.60074578,5546.25,1,1,1
"Rustic",28,30,36,99,20.02981099,7692,0,0,1
"Maple Leaf",29,26,41,76,23.05914766,3384.666667,0,0,0
"Brookhaven-Amesbury",30,57,188,108,29.67583066,4326.375,0,0,0
"Yorkdale-Glen Park",31,155,1007,246,49.71453259,4193.75,1,1,0
"Englemount-Lawrence",32,90,185,198,39.79200011,3056.1,1,1,0
"Clanton Park",33,57,234,148,42.6697449,3513.25,0,1,0
"Bathurst Manor",34,69,146,177,41.4372944,5594.4,0,1,1
"Westminster-Branson",35,36,221,150,23.39752438,4357.75,0,0,0
"Newtonbrook West",36,95,351,260,46.89685527,5774.6,1,1,1
"Willowdale West",37,25,111,167,32.29755967,4808.285714,0,0,1
"Lansing-Westgate",38,44,142,173,39.31779631,6920.090909,0,1,1
"Bedford Park-Nortown",39,75,167,258,62.50510549,3124.076923,1,1,0
"St.Andrew-Windfields",40,151,123,302,59.74934713,3595.5,1,1,0
"Bridle Path-Sunnybrook-York Mills",41,66,205,128,48.36508558,7224.5,0,1,1
"Banbury-Don Mills",42,128,319,166,75.0681627,4750.642857,1,1,1
"Victoria Village",43,73,113,122,34.27607748,5074.666667,1,0,1
"Flemingdon Park",44,48,95,120,11.77007859,5799.375,0,0,1
"Parkwoods-Donalda",45,109,173,312,58.27994577,4192.777778,1,1,0
"Pleasant View",46,43,77,152,32.86586301,4517,0,0,1
"Don Valley Village",47,57,251,185,39.98616921,6050.3,0,1,1
"Hillcrest Village",48,80,170,174,41.08455447,3566.222222,1,1,0
"Bayview Woods-Steeles",49,37,79,107,29.92753678,10812,0,0,1
"Newtonbrook East",50,96,145,151,39.49436862,4012.333333,1,1,0
"Willowdale East",51,61,296,524,62.46088057,5919.692308,0,1,1
"Bayview Village",52,43,302,99,37.07799855,3854.625,0,0,0
"Henry Farm",53,27,112,108,16.06263543,5659,0,0,1
"O'Connor-Parkview",54,95,93,128,44.29355774,2532.076923,1,1,0
"Thorncliffe Park",55,62,256,154,13.29149971,6611.5,0,0,1
"Leaside-Bennington",56,62,92,280,48.30630623,8701.583333,0,1,1
"Broadview North",57,44,51,47,15.20816339,3892,0,0,0
"Old East York",58,74,60,60,23.84081641,0,1,0,0
"Danforth-East York",59,53,67,106,35.28021008,3039.75,0,0,0
"Woodbine-Lumsden",60,39,27,70,16.07900302,2022.25,0,0,0
"Taylor-Massey",61,27,73,89,10.68841484,3575.5,0,0,0
"East End-Danforth",62,89,129,129,31.17002467,0,1,0,0
"The Beaches",63,44,131,193,43.72176959,3434.25,0,1,0
"Woodbine Corridor",64,35,57,75,20.75984929,5104,0,0,1
"Greenwood-Coxwell",65,44,90,91,23.60064249,2621.5,0,0,0
"Danforth",66,53,48,92,15.45133445,0,0,0,0
"Playter Estates-Danforth",67,41,56,112,11.62757371,2725.333333,0,0,0
"North Riverdale",68,43,95,110,18.77734793,3522.333333,0,0,0
"Blake-Jones",69,11,49,40,11.66190741,0,0,0,0
"South Riverdale",70,109,318,366,56.66203282,7386.2,1,1,1
"Cabbagetown-South St.James Town",71,26,90,74,15.27421978,1741,0,0,0
"Regent Park",72,20,40,15,6.939176645,0,0,0,0
"Moss Park",73,71,211,59,23.8997873,7509.333333,0,0,1
"North St.James Town",74,19,49,46,4.720277312,2377.666667,0,0,0
"Church-Yonge Corridor",75,64,357,253,22.58273038,4183.727273,0,0,0
"Bay Street Corridor",76,126,580,290,26.29975736,4701.1,1,0,1
"Waterfront Communities-The Island",77,90,610,487,63.67921613,5771.68,1,1,1
"Kensington-Chinatown",78,49,236,289,21.2281364,4152.777778,0,0,0
"University",79,45,152,86,15.59120246,0,0,0,0
"Palmerston-Little Italy",80,40,148,95,18.86810933,2291.666667,0,0,0
"Trinity-Bellwoods",81,41,208,156,26.77774476,4139.6,0,0,0
"Niagara",82,64,313,312,19.53632815,5347.625,0,0,1
"Dufferin Grove",83,42,141,94,16.21458922,3287.2,0,0,0
"Little Portugal",84,22,102,122,17.38358577,6815.5,0,0,1
"South Parkdale",85,40,152,110,24.80493413,6156.444444,0,0,1
"Roncesvalles",86,41,90,139,19.20689115,4172,0,0,0
"High Park-Swansea",87,77,125,291,47.64471023,4831.9,1,1,1
"High Park North",88,61,87,145,23.63400611,2299.333333,0,0,0
"Runnymede-Bloor West Village",89,55,56,102,19.86655409,2667.5,0,0,0
"Junction Area",90,93,164,146,26.82264851,5993.6,1,0,1
"Weston-Pellam Park",91,32,62,104,16.90758145,2896.8,0,0,0
"Corso Italia-Davenport",92,73,78,124,22.3904709,3832.833333,1,0,0
"Dovercourt-Wallace Emerson-Juncti",93,137,204,286,47.68163149,3898.416667,1,1,0
"Wychwood",94,62,74,75,22.11651935,3112.5,0,0,0
"Annex",95,120,290,331,39.47685229,5810.5,1,1,1
"Casa Loma",96,45,74,116,22.99642277,3815.5,0,0,0
"Yonge-St.Clair",97,28,58,99,12.83543094,7116,0,0,1
"Rosedale-Moore Park",98,91,148,305,48.24002744,3646.62069,1,1,0
"Mount Pleasant East",99,58,83,218,28.31337044,5380.714286,0,0,1
"Yonge-Eglinton",100,67,134,143,22.07398574,5391,0,0,1
"Forest Hill South",101,28,42,164,30.25289175,5855,0,0,1
"Forest Hill North",102,53,61,153,20.41502948,5872.555556,0,0,1
"Lawrence Park South",103,39,69,183,39.90787305,4398.111111,0,1,1
"Mount Pleasant West",104,45,111,228,16.12560861,5827.571429,0,0,1
"Lawrence Park North",105,55,46,218,29.60219911,4704.142857,0,0,1
"Humewood-Cedarvale",106,29,51,88,23.21263491,3941,0,0,0
"Oakwood Village",107,40,84,178,32.5587855,4503.666667,0,0,1
"Briar Hill-Belgravia",108,45,93,137,22.4839455,11837.28571,0,0,1
"Caledonia-Fairbank",109,37,52,82,18.70522556,5796,0,0,1
"Keelesdale-Eglinton West",110,24,119,141,22.30262457,2186.666667,0,0,0
"Rockcliffe-Smythe",111,104,115,193,43.05565102,5589.25,1,1,1
"Beechborough-Greenbrook",112,35,63,103,16.39852965,5102,0,0,1
"Weston",113,75,178,196,29.13558051,4369.25,1,0,0
"Lambton Baby Point",114,28,20,52,19.21811928,2337.857143,0,0,0
"Mount Dennis",115,59,59,64,17.69051031,13491.5,0,0,1
"Steeles",116,80,99,234,46.33675666,3711.3125,1,1,0
"L'Amoreaux",117,138,249,215,66.57614957,2482.52381,1,1,0
"Tam O'Shanter-Sullivan",118,55,260,171,50.85001538,2522.181818,0,1,0
"Wexford/Maryvale",119,182,607,262,86.67723451,3539.25,1,1,0
"Clairlea-Birchmount",120,129,465,268,63.8376636,3601,1,1,0
"Oakridge",121,56,80,76,19.11891564,3205,0,0,0
"Birchcliffe-Cliffside",122,104,114,193,64.45457811,2636.263158,1,1,0
"Cliffcrest",123,69,97,108,51.38712788,3779.625,0,1,0
"Kennedy Park",124,73,155,117,30.81869749,2876.75,1,0,0
"Ionview",125,22,111,32,16.898618,2664,0,0,0
"Dorset Park",126,93,348,251,39.00312698,3959,1,1,0
"Bendale",127,118,851,258,62.86449729,4499.117647,1,1,1
"Agincourt South-Malvern West",128,125,281,160,55.9797809,3773.071429,1,1,0
"Agincourt North",129,94,129,288,57.45648472,3584.058824,1,1,0
"Milliken",130,160,487,426,67.435866,3917.571429,1,1,0
"Rouge",131,199,263,770,115.7449367,4300.913043,1,1,0
"Malvern",132,180,232,334,74.91197001,3766.772727,1,1,0
"Centennial Scarborough",133,44,44,115,45.86598925,2994.571429,0,1,0
"Highland Creek",134,70,50,100,37.845626,3516.833333,0,1,0
"Morningside",135,35,118,88,32.28313942,4873.142857,0,0,1
"West Hill",136,80,209,166,61.14700126,3824.181818,1,1,0
"Woburn",137,139,507,438,102.835355,4656.6,1,1,1
"Eglinton East",138,61,180,122,29.46464034,3086,0,0,0
"Scarborough Village",139,29,110,65,23.14334537,2111.6,0,0,0
"Guildwood",140,29,23,56,31.41879421,2114.875,0,0,0
